vcs_id,starting_year,years,years_n,avoided_verra
985,2008,"2009, 2010, 2011, 2012, 2013",5,-20684.2
1566,2013,"2014,  2015, 2016, 2017, 2018",5,-65273
1382,2012,"2013, 2014, 2015, 2016, 2017",5,-39122.2
875,2009,"2010, 2011, 2012, 2013, 2014",5,-9121
1067,2010,"2011, 2012, 2013, 2014, 2015",5,-4352.335
981,2008,"2009, 2010, 2011, 2012, 2013",5,-3752
1360,2010,"2011, 2012, 2013, 2014, 2015",5,-1903.3
1311,2008,"2009, 2010, 2011",3,-6404
1215,2005,"2006, 2007, 2008, 2009, 2010",5,-3374
1115,2011,"2012, 2013, 2014, 2015, 2016",5,-2762
1113,2011,"2012, 2013, 2014, 2015, 2016",5,-3793
963,2011,"2012, 2013, 2014, 2015, 2016",5,-2208.2
1503,2012,"2013, 2014, 2015,  2016, 2017",5,"-2,985.00"
1047,2007,"2008, 2009, 2010, 2011, 2012",5,-4010
1571,2013,"2014, 2015, 2016, 2017, 2018",5,-2290
1094,2002,"2003, 2004, 2005, 2006, 2007",5,-2091
1112,2011,"2012, 2013, 2014, 2015, 2016",5,"-2,837"
1359,2009,"2010, 2011, 2012, 2013",4,"-2,786"
1389,2013,"2014, 2015, 2016, 2017, 2018",5,-2480
1391,2013,"2014, 2015, 2016, 2017",4,-2459
1329,2012,"2013, 2014, 2015, 2016, 2017",5,-1475
1390,2014,"2015, 2016, 2017",3,-1482
1399,2013,"2014, 2015, 2016, 2017",4,"-1,482.00"
958,2010,"2011, 2012, 2013, 2014, 2015",5,-182
944,2007,"2009, 2010, 2011, 2012",4,-7854
PL1218,2011,"2012, 2013, 2014, 2015, 2016",5,-988.23